date,peak_pos,last_pos,weeks,rank,change,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
3/31/2018,95,0,1,95,,0.663,0.0867,135.499,0.15,0.0216,0.000356,4,0.873,1,115194,-4.086,0.525,1
3/31/2018,21,38,24,48,-10,0.561,0.0383,109.974,0.0778,0.211,3.49E-06,4,0.845,1,200853,-5.253,0.811,0
3/31/2018,82,0,1,82,,0.416,0.131,159.91,0.0251,0.1,0.179,4,0.414,11,186268,-8.024,0.196,0
3/31/2018,18,42,36,46,-4,0.539,0.165,136.949,0.0421,0.199,1.66E-05,4,0.798,1,202547,-6.351,0.394,1
3/24/2018,97,0,1,97,,0.531,0.118,77.047,0.0379,0.0637,2.66E-06,4,0.746,10,221360,-5.607,0.321,0
3/24/2018,60,0,1,60,,0.824,0.198,126.012,0.0534,0.102,0,4,0.805,1,217147,-5.844,0.649,1
3/24/2018,74,0,1,74,,0.586,0.0976,95.032,0.131,0.09,0,4,0.566,9,241427,-7.444,0.273,0
3/24/2018,68,0,1,68,,0.752,0.142,149.987,0.0667,0.00189,1.69E-05,4,0.868,1,217560,-6.786,0.874,1
3/24/2018,6,49,36,48,1,0.635,0.283,144.004,0.265,0.0223,0,4,0.702,11,203760,-6.917,0.873,0
3/24/2018,49,89,5,93,-4,0.471,0.268,131.023,0.259,0.0201,0,4,0.768,2,267427,-8.406,0.405,1
3/24/2018,87,0,1,87,,0.805,0.132,155.864,0.369,0.194,0,4,0.631,11,173693,-5.401,0.674,0
3/17/2018,65,76,4,92,-16,0.652,0.193,97.017,0.143,0.177,0,4,0.856,1,219307,-5.324,0.471,1
3/17/2018,91,0,1,91,,0.369,0.0932,121.96,0.0919,0.388,5.14E-06,4,0.924,8,219664,-15.015,0.433,1
3/10/2018,1,33,35,40,-7,0.574,0.428,124.982,0.0577,0.0606,0,3,0.813,9,220395,-9.401,0.546,1
3/10/2018,98,0,1,98,,0.386,0.252,86.36,0.0307,0.456,0,4,0.51,1,199436,-8.391,0.266,1
3/10/2018,50,0,9,89,,0.641,0.234,91.167,0.351,0.175,0,4,0.885,1,142582,-4.455,0.201,1
3/10/2018,99,0,1,99,,0.413,0.334,115.035,0.182,0.132,0,4,0.859,1,194230,-7.399,0.697,1
3/10/2018,95,95,5,100,-5,0.691,0.0517,61.115,0.139,0.0375,0,4,0.852,6,174653,-5.175,0.658,0
3/10/2018,63,68,3,90,-22,0.72,0.176,140.08,0.0488,0.0626,1.21E-06,4,0.727,11,238893,-5.856,0.589,0
3/10/2018,61,0,1,61,,0.867,0.202,98.03,0.0439,0.00699,1.03E-06,4,0.618,0,173082,-4.915,0.579,1
